SURVEY,SURVEY,,NPS,NPS_TOELICHTING,GESLACHT,LEEFTIJD,ABOJAREN,CREATIE_DT,SUBSCRIPTION_KEY,TITEL_TEKST,ABO_TYPE,ELT_PROEF_GEHAD,EXIT_OPZEGREDEN
LLT_Nieuws,LLT_Nieuws,,9,"Ben op zich niet zo voor aanbevelen maar als het gevraagd wordt en ik denk dat het past, dan doe ik het wel.",Man,75 jaar of ouder,11-20 jaar,3/18/2025,ARIA_TR_A1000338412,Trouw,Compleet,,
LLT_Magazines,LLT_Magazines,,8,n.v.t.,Vrouw,65-74,Meer dan 30 jaar,7/14/2025,SAP_LIBEL_3391021_10,Libelle,Compleet,,
ELT_Nieuws,ELT_Nieuws,,8,n.v.t.,Man,65-74,1-2 maanden,3/31/2025,ARIA_AD_A1003688671,het AD,Compleet,Nee,
LLT_Nieuws,LLT_Nieuws,,6,Omdat ik het erg duur vind.,Vrouw,55-64,Meer dan 30 jaar,7/14/2025,ARIA_BD_A1000589636,Brabants Dagblad,Compleet,,
ELT_Nieuws,ELT_Nieuws,,8,goede mix,Vrouw,55-64,Weet ik niet zeker,3/18/2025,ARIA_DM_A1003651553,De Morgen,Compleet,Nee,
EXIT_Nieuws,EXIT_Nieuws,,0,Nooit op tijd...,Man,65-74,11-20 jaar,2/3/2025,ARIA_HLN_A1002056523,Het Laatste Nieuws,Compleet,,"Geen weekend krant, soms gewoon geen krant enz..."
LLT_Nieuws,LLT_Nieuws,,5,"Slechts voor regionaal nieuws, naast een landelijk dagblad zinvol.",Man,65-74,Meer dan 30 jaar,6/2/2025,ARIA_ST_A1002771132,de Stentor,Compleet,,
LLT_Magazines,LLT_Magazines,,3,T is gezellig en leerzaam,Vrouw,65-74,21-30 jaar,8/25/2025,SAP_LIBEL_14631350_10,Libelle,Compleet,,
LLT_Nieuws,LLT_Nieuws,,10,Ik ben heel tevreden met hetgeen de krant biedt,Man,65-74,6-10 jaar,6/9/2025,ARIA_VK_A1000209525,de Volkskrant,Digital Only,,
LLT_Magazines,LLT_Magazines,,10,"Goed weekblad, prettig geprijsd",Man,55-64,Minder dan 6 maanden,7/7/2025,SAP_AUTOW_41118345_10,AutoWeek,Compleet,,
